category_id,category_name
0,Afghan
1,African
2,American (New)
3,American (Traditional)
4,Asian Fusion
5,Australian
6,Bakeries
7,Barbeque
8,Bars
9,Beer Bar
10,"Beer, Wine & Spirits"
11,Brazilian
12,Breakfast & Brunch
13,Breweries
14,Brewpubs
15,British
16,Burgers
17,Cafes
18,Cajun/Creole
19,Cambodian
20,Cantonese
21,Caribbean
22,Caterers
23,Chicken Shop
24,Chinese
25,Cocktail Bars
26,Coffee & Tea
27,Colombian
28,Comfort Food
29,Cuban
30,Dance Clubs
31,Desserts
32,Dim Sum
33,Diners
34,Dive Bars
35,Ethiopian
36,French
37,Gastropubs
38,Gay Bars
39,German
40,Greek
41,Halal
42,Himalayan/Nepalese
43,Hot Pot
44,Hotels
45,Ice Cream & Frozen Yogurt
46,Indian
47,Irish Pub
48,Italian
49,Izakaya
50,Japanese
51,Juice Bars & Smoothies
52,Korean
53,Latin American
54,Lounges
55,Malaysian
56,Mediterranean
57,Mexican
58,Middle Eastern
59,Modern European
60,Mongolian
61,Moroccan
62,Noodles
63,Pakistani
64,Persian/Iranian
65,Peruvian
66,Pizza
67,Poke
68,Polish
69,Portuguese
70,Pubs
71,Puerto Rican
72,Ramen
73,Salad
74,Sandwiches
75,Seafood
76,Seafood Markets
77,Shanghainese
78,Southern
79,Spanish
80,Sports Bars
81,Steakhouses
82,Sushi Bars
83,Szechuan
84,Tacos
85,Taiwanese
86,Tapas Bars
87,Tapas/Small Plates
88,Thai
89,Tiki Bars
90,Turkish
91,Vegan
92,Vegetarian
93,Venues & Event Spaces
94,Vietnamese
95,Wine Bars
