id,name,url,rating,price,display_phone,review_count,address,zip_code
kP1b-7BO_VhWk_0tvuA_tw,Carmelina's,https://www.yelp.com/biz/carmelinas-boston-2?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,4.5,$$,(617) 742-0020,2090,307 Hanover St,02113
t_FFcwUutj9mIYKGw_gHsQ,The Salty Pig,https://www.yelp.com/biz/the-salty-pig-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,4.0,$$,(617) 536-6200,1675,130 Dartmouth St,02116
2u_w3rthRzR2uEihW5BC4A,Giacomo's Ristorante,https://www.yelp.com/biz/giacomos-ristorante-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,4.0,$$,(617) 523-9026,3408,355 Hanover St,02113
nyy38msunExaObJOeH7j0Q,Bootleg Special,https://www.yelp.com/biz/bootleg-special-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,4.0,$$,(617) 451-1800,524,400 Tremont St,02116
7_q1IsPoR25clSoigtGmeg,Pomodoro,https://www.yelp.com/biz/pomodoro-boston-2?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,4.5,$$,(617) 367-4348,514,351 Hanover St,02113
y2w6rFaO0XEiG5mFfOsiFA,Neptune Oyster,https://www.yelp.com/biz/neptune-oyster-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,4.5,$$$,(617) 742-3474,4995,63 Salem St,02113
i6uHrxuS1D_6V8WhaWLy5A,Luke's Lobster Back Bay,https://www.yelp.com/biz/lukes-lobster-back-bay-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,4.0,$$,(857) 350-4626,1733,75 Exeter Street,02116
VnuD2cojPTWd3nIHQjnL8w,Island Creek Oyster Bar,https://www.yelp.com/biz/island-creek-oyster-bar-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,4.5,$$$,(617) 532-5300,2735,500 Commonwealth Ave,02215
GnxeBWPJLTXf801hEqv-2A,Domenic's,https://www.yelp.com/biz/domenics-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,4.5,$$,(617) 982-6142,98,54 Salem St,02113
5TsjdwNt10gxGChQtGGpdg,Gaslight,https://www.yelp.com/biz/gaslight-brasserie-boston-5?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,4.0,$$,(617) 422-0224,2030,560 Harrison Ave,02118
